prices_buy,prices_buy_forecast,demand_MW,demand_MW_forecast,soc,charge_MW,discharge_MW,import_MW,export_MW,profit_step,profit_daily
51.66,57.58194427,40.25,37.37011299,0.7112416863053155,0.0,0.0,37.37011299,0.0,0.0,2568.1535605263157
57.29,59.70348781,41.11,41.00815612,0.7112416863053155,0.0,0.0,41.00815612,0.0,0.0,2568.1535605263157
61.79,57.30388725,42.14,40.59705916,0.7112416863053155,0.0,0.0,40.59705916,0.0,0.0,2568.1535605263157
71.95,54.72666667,43.48,39.52206336,0.7112416863053155,0.0,0.0,39.52206336,0.0,0.0,2568.1535605263157
79.65,78.45547569,45.5,43.82418413,0.7112416863053155,0.0,12.56,31.264184129999997,0.0,1000.4040000000001,2568.1535605263157
79.74,74.52112903,44.19,44.24649055,0.4481361612987692,0.0,12.56,31.686490549999995,0.0,1001.5344,2568.1535605263157
69.5,75.50673866,41.38,40.48096154,0.18503063629222294,0.0,8.832899999999992,31.64806154000001,0.0,613.8865499999994,2568.1535605263157
63.83,72.25064135,37.88,37.65971364,0.0,0.0,0.0,37.65971364,0.0,0.0,2568.1535605263157
55.52,69.03074329,34.08,34.03753745,0.0,0.0,0.0,34.03753745,0.0,0.0,2568.1535605263157
49.4,59.82049681,30.37,31.43042945,0.0,0.0,0.0,31.43042945,0.0,0.0,2568.1535605263157
37.33,53.77682149,27.32,26.82472845,0.5,0.0,0.0,26.82472845,0.0,0.0,2563.6859878116343
36.38,51.62501013,25.95,25.4764634,0.5,0.0,0.0,25.4764634,0.0,0.0,2563.6859878116343
32.7,51.01237942,25.12,24.66832101,0.5,0.0,0.0,24.66832101,0.0,0.0,2563.6859878116343
32.17,45.96145574,24.94,24.53779575,0.5,12.56,0.0,37.09779575,0.0,-404.0552,2563.6859878116343
32.31,47.29798141,25.23,24.20269447,0.737452736318408,12.56,0.0,36.76269447,0.0,-405.81360000000006,2563.6859878116343
36.32,49.58704962,26.79,26.56424691,0.974905472636816,1.3273684210526253,0.0,27.891615331052627,0.0,-48.210021052631355,2563.6859878116343
47.66,50.51830637,31.38,27.855,1.0,0.0,0.0,27.855,0.0,0.0,2563.6859878116343
58.0,59.62216034,36.51,36.44785167,1.0,0.0,12.56,23.887851669999996,0.0,728.48,2563.6859878116343
61.24,62.45621782,40.78,39.65017763,0.7368944749934537,0.0,12.56,27.09017763,0.0,769.1744000000001,2563.6859878116343
58.69,58.96772966,41.23,40.11420802,0.47378894998690746,0.0,0.0,40.11420802,0.0,0.0,2563.6859878116343
53.36,52.82325662,40.5,40.4886331,0.47378894998690746,0.0,0.0,40.4886331,0.0,0.0,2563.6859878116343
51.83,50.8511124,39.95,40.24404128,0.47378894998690746,12.56,0.0,52.80404128,0.0,-650.9848,2563.6859878116343
42.14,46.8988437,37.53,38.07427042,0.7112416863053155,12.56,0.0,50.63427042,0.0,-529.2784,2563.6859878116343
42.29,42.10943333,37.21,36.53264045,0.9486944226237235,2.7137950138504148,0.0,39.24643546385042,0.0,-114.76639113573404,2563.6859878116343
50.12,52.88568881,38.55,37.37011299,1.0,0.0,0.0,37.37011299,0.0,0.0,2563.6859878116343
51.72,55.80022792,39.26,39.82409031,1.0,0.0,0.0,39.82409031,0.0,0.0,2563.6859878116343
55.25,57.81535796,39.98,40.34214346,1.0,0.0,0.0,40.34214346,0.0,0.0,2563.6859878116343
58.4,56.25166667,40.37,40.44616831,1.0,0.0,0.0,40.44616831,0.0,0.0,2563.6859878116343
67.53,68.90427279,42.25,42.0215691,1.0,0.0,12.56,29.4615691,0.0,848.1768000000001,2563.6859878116343
74.52,74.52112903,42.53,40.39193845,0.7368944749934537,0.0,12.56,27.831938449999996,0.0,935.9712,2563.6859878116343
64.54,71.81657759,40.6,40.48096154,0.47378894998690746,0.0,12.56,27.92096154,0.0,810.6224000000001,2563.6859878116343
62.08,68.04474696,37.39,35.6611538,0.2106834249803612,0.0,10.057499999999992,25.60365380000001,0.0,624.3695999999995,2563.6859878116343
55.69,63.58707736,33.46,32.19721697,0.0,0.0,0.0,32.19721697,0.0,0.0,2563.6859878116343
52.75,57.47710989,29.8,29.18866936,0.0,0.0,0.0,29.18866936,0.0,0.0,2563.6859878116343
56.49,53.85301853,27.89,26.91179927,0.5,0.0,0.0,26.91179927,0.0,0.0,2079.1702442631577
55.26,45.00742692,26.26,25.44886512,0.5,12.56,0.0,38.00886512,0.0,-694.0656,2079.1702442631577
55.26,41.41469454,25.41,23.84866255,0.737452736318408,12.56,0.0,36.40866255,0.0,-694.0656,2079.1702442631577
54.0,44.50049096,25.2,24.23676111,0.974905472636816,1.3273684210526253,0.0,25.564129531052625,0.0,-71.67789473684176,2079.1702442631577
52.97,45.83876435,25.3,23.75442165,1.0,0.0,0.0,23.75442165,0.0,0.0,2079.1702442631577
55.65,47.53009593,26.53,25.89344598,1.0,0.0,0.0,25.89344598,0.0,0.0,2079.1702442631577
62.0,58.90143297,30.8,29.65126582,1.0,0.0,0.0,29.65126582,0.0,0.0,2079.1702442631577
70.0,60.36394139,36.04,35.30541496,1.0,0.0,12.56,22.745414959999998,0.0,879.2,2079.1702442631577
74.88,64.84003601,40.28,39.5173584,0.7368944749934537,0.0,12.56,26.957358399999997,0.0,940.4928,2079.1702442631577
74.0,61.37929875,40.97,39.906234,0.47378894998690746,0.0,12.56,27.346233999999995,0.0,929.44,2079.1702442631577
70.0,54.62071243,40.46,39.66035607,0.2106834249803612,0.0,0.0,39.66035607,0.0,0.0,2079.1702442631577
64.65,56.74981215,39.95,39.24138151,0.2106834249803612,0.0,0.0,39.24138151,0.0,0.0,2079.1702442631577
57.65,52.2437737,37.74,37.71631761,0.2106834249803612,0.0,0.0,37.71631761,0.0,0.0,2079.1702442631577
56.72,50.34071333,37.19,36.53264045,0.2106834249803612,12.56,0.0,49.092640450000005,0.0,-712.4032,2079.1702442631577
57.59,51.37618011,37.98,37.37011299,0.44813616129876915,12.56,0.0,49.930112990000005,0.0,-723.3304,2079.1702442631577
58.65,53.26705337,38.13,38.89063289,0.6855888976171771,0.0,0.0,38.89063289,0.0,0.0,2079.1702442631577
59.11,51.88764965,38.13,38.58329313,0.6855888976171771,0.0,0.0,38.58329313,0.0,0.0,2079.1702442631577
59.11,53.64625,37.66,38.43903262,0.6855888976171771,0.0,0.0,38.43903262,0.0,0.0,2079.1702442631577
60.0,59.62871377,37.81,37.50334942,0.6855888976171771,0.0,12.56,24.943349419999997,0.0,753.6,2079.1702442631577
72.17,63.18588608,38.22,37.38958514,0.42248337261063085,0.0,12.56,24.82958514,0.0,906.4552000000001,2079.1702442631577
74.33,70.20111879,39.15,38.446,0.15937784760408458,0.0,7.608299999999987,30.837700000000012,0.0,565.524938999999,2079.1702442631577
61.07,59.65582836,36.59,35.78038751,0.0,0.0,0.0,35.78038751,0.0,0.0,2079.1702442631577
56.93,54.88787762,32.93,32.31583375,0.0,0.0,0.0,32.31583375,0.0,0.0,2079.1702442631577
53.72,54.08242859,29.44,29.28563809,0.0,0.0,0.0,29.28563809,0.0,0.0,2079.1702442631577
49.8,55.19245267,24.12,26.87837804,0.5,0.0,0.0,26.87837804,0.0,0.0,1148.8194844210525
46.04,49.31910034,22.61,25.44886512,0.5,12.56,0.0,38.00886512,0.0,-578.2624,1148.8194844210525
42.0,46.19023564,21.57,23.84370873,0.737452736318408,12.56,0.0,36.40370873,0.0,-527.52,1148.8194844210525
