prices_buy,prices_buy_forecast,demand_MW,demand_MW_forecast,soc,charge_MW,discharge_MW,import_MW,export_MW,profit_step,profit_daily
57.59,57.59,37.98,37.98,0.28875831369468447,12.56,0.0,50.54,0.0,-723.3304,2284.1203385041554
58.65,58.65,38.13,38.13,0.5262110500130924,0.0,0.0,38.13,0.0,0.0,2284.1203385041554
59.11,59.11,38.13,38.13,0.5262110500130924,0.0,0.0,38.13,0.0,0.0,2284.1203385041554
59.11,59.11,37.66,37.66,0.5262110500130924,0.0,0.0,37.66,0.0,0.0,2284.1203385041554
60.0,60.0,37.81,37.81,0.5262110500130924,0.0,0.0,37.81,0.0,0.0,2284.1203385041554
72.17,72.17,38.22,38.22,0.5262110500130924,0.0,12.56,25.659999999999997,0.0,906.4552000000001,2284.1203385041554
74.33,74.33,39.15,39.15,0.2631055250065462,0.0,12.56,26.589999999999996,0.0,933.5848,2284.1203385041554
61.07,61.07,36.59,36.59,0.0,0.0,0.0,36.59,0.0,0.0,2284.1203385041554
56.93,56.93,32.93,32.93,0.0,0.0,0.0,32.93,0.0,0.0,2284.1203385041554
53.72,53.72,29.44,29.44,0.0,0.0,0.0,29.44,0.0,0.0,2284.1203385041554
49.8,49.8,24.12,24.12,0.5,0.0,12.56,11.56,0.0,625.4879999999999,2049.546303947369
46.04,46.04,22.61,22.61,0.23689447499345379,0.0,11.308750000000002,11.301249999999998,0.0,520.65485,2049.546303947369
42.0,42.0,21.57,21.57,0.0,0.0,0.0,21.57,0.0,0.0,2049.546303947369
36.05,36.05,21.12,21.12,0.0,12.56,0.0,33.68,0.0,-452.78799999999995,2049.546303947369
35.51,35.51,21.04,21.04,0.23745273631840796,12.56,0.0,33.6,0.0,-446.0056,2049.546303947369
40.96,40.96,20.85,20.85,0.47490547263681593,2.654736842105257,0.0,23.50473684210526,0.0,-108.73802105263132,2049.546303947369
35.51,35.51,20.74,20.74,0.525094527363184,12.56,0.0,33.3,0.0,-446.0056,2049.546303947369
39.16,39.16,22.12,22.12,0.762547263681592,12.56,0.0,34.68,0.0,-491.84959999999995,2049.546303947369
43.8,43.8,23.74,23.74,1.0,0.0,0.0,23.74,0.0,0.0,2049.546303947369
46.5,46.5,24.93,24.93,1.0,0.0,8.886200000000004,16.043799999999997,0.0,413.2083000000002,2049.546303947369
52.24,52.24,25.4,25.4,0.8138528410578685,0.0,12.56,12.839999999999998,0.0,656.1344,2049.546303947369
50.0,50.0,25.53,25.53,0.5507473160513222,0.0,12.56,12.97,0.0,628.0,2049.546303947369
44.83,44.83,25.16,25.16,0.287641791044776,0.0,0.0,25.16,0.0,0.0,2049.546303947369
40.61,40.61,23.83,23.83,0.287641791044776,12.56,0.0,36.39,0.0,-510.0616,2049.546303947369
39.15,39.15,23.18,23.18,0.525094527363184,12.56,0.0,35.74,0.0,-491.724,2049.546303947369
38.0,38.0,23.05,23.05,0.762547263681592,12.56,0.0,35.61,0.0,-477.28000000000003,2049.546303947369
42.0,42.0,23.34,23.34,1.0,0.0,0.0,23.34,0.0,0.0,2049.546303947369
44.32,44.32,24.25,24.25,1.0,0.0,0.0,24.25,0.0,0.0,2049.546303947369
47.99,47.99,25.62,25.62,1.0,0.0,0.0,25.62,0.0,0.0,2049.546303947369
52.57,52.57,27.67,27.67,1.0,0.0,10.0575,17.612500000000004,0.0,528.722775,2049.546303947369
55.77,55.77,29.3,29.3,0.7893165750196387,0.0,12.56,16.74,0.0,700.4712000000001,2049.546303947369
56.73,56.73,29.46,29.46,0.5262110500130924,0.0,12.56,16.9,0.0,712.5287999999999,2049.546303947369
54.84,54.84,27.29,27.29,0.2631055250065462,0.0,12.56,14.729999999999999,0.0,688.7904000000001,2049.546303947369
47.56,47.56,24.49,24.49,0.0,0.0,0.0,24.49,0.0,0.0,2049.546303947369
52.33,52.33,30.61,30.61,0.5,0.0,12.56,18.05,0.0,657.2648,2094.338426609419
