day_index,date,price_max,price_min,price_mean,price_std,price_range,abs_hourly_change_mean,abs_hourly_change_max,spike_count_q95,is_spike_day,is_high_vol_day,stress_regime
119,2019-04-30,71.68,45.53,53.48291666666666,6.3839026357173445,26.150000000000006,4.102608695652174,26.150000000000006,2,False,False,Normal
120,2019-05-01,82.33,53.5,67.55458333333333,8.71190638507548,28.83,3.9473913043478257,9.720000000000006,2,False,False,Normal
121,2019-05-02,70.36,41.71,58.7825,7.034550293095287,28.65,3.300869565217392,9.369999999999997,2,False,False,Normal
122,2019-05-03,94.2,36.35,58.44083333333333,15.661173790388558,57.85,6.8160869565217395,20.450000000000003,2,True,True,Spike + High Vol
123,2019-05-04,74.43,38.0,52.55166666666667,10.365762484451299,36.43000000000001,5.154782608695652,13.690000000000005,2,False,False,Normal
124,2019-05-05,59.77,30.05,40.88,9.10822179944176,29.720000000000002,4.193478260869566,12.869999999999997,2,False,False,Normal
125,2019-05-06,70.71,34.77,48.13666666666666,9.362161431350492,35.93999999999999,5.742173913043477,19.539999999999992,2,False,False,Normal
126,2019-05-07,72.96,45.89,56.47291666666666,7.445014368641295,27.069999999999993,3.0121739130434784,10.199999999999996,2,False,False,Normal
127,2019-05-08,61.41,41.34,49.41916666666666,5.755491076896205,20.069999999999993,2.353478260869565,8.54,2,False,False,Normal
128,2019-05-09,74.1,39.0,53.07708333333333,10.157632161246458,35.099999999999994,4.239130434782608,13.89,2,False,False,Normal
129,2019-05-10,71.53,26.5,50.22541666666667,10.393355728401747,45.03,5.531304347826087,20.240000000000002,2,False,False,Normal
130,2019-05-11,62.89,24.99,42.043749999999996,10.243998799933724,37.900000000000006,3.7934782608695663,11.259999999999998,2,False,False,Normal
131,2019-05-12,80.39,38.93,57.53791666666667,10.682940882818606,41.46,4.333913043478261,13.690000000000005,2,False,False,Normal
132,2019-05-13,69.83,48.75,57.23041666666666,5.055352289936112,21.08,2.649130434782608,10.57,2,False,False,Normal
133,2019-05-14,59.91,48.48,54.17625,3.4459476042598727,11.43,2.180434782608696,5.449999999999996,2,False,False,Normal
134,2019-05-15,68.31,49.27,55.87875,4.308047386300282,19.04,2.5252173913043476,9.32,2,False,False,Normal
135,2019-05-16,65.85,48.21,53.58083333333334,4.573370859059293,17.639999999999993,2.7491304347826078,8.909999999999997,2,False,False,Normal
136,2019-05-17,62.19,45.35,53.22208333333333,4.682013668578257,16.839999999999996,2.837391304347826,7.670000000000002,2,False,False,Normal
137,2019-05-18,57.03,39.9,46.689166666666665,5.065431795549351,17.130000000000003,2.7500000000000004,7.950000000000003,2,False,False,Normal
138,2019-05-19,58.95,36.49,43.73083333333333,6.973495110629321,22.46,3.509130434782608,9.310000000000002,2,False,False,Normal
139,2019-05-20,61.24,34.1,49.244166666666665,8.475451465039011,27.14,2.68304347826087,10.14,2,False,False,Normal
140,2019-05-21,60.66,35.27,47.5275,7.858135219658333,25.389999999999993,3.4417391304347813,9.04,2,False,False,Normal
141,2019-05-22,64.32,41.41,50.79749999999999,6.160228856561858,22.909999999999997,2.800869565217392,8.61,2,False,False,Normal
142,2019-05-23,64.12,43.39,49.94708333333333,5.4580992703438005,20.730000000000004,2.9652173913043485,8.310000000000002,2,False,False,Normal
143,2019-05-24,57.88,41.13,47.65833333333333,4.921324200259314,16.75,3.039130434782609,6.599999999999994,2,False,False,Normal
144,2019-05-25,58.17,37.04,44.69,5.03287280741846,21.130000000000003,3.1017391304347828,7.310000000000002,2,False,False,Normal
145,2019-05-26,57.04,32.71,42.89625,6.885598589431617,24.33,3.4065217391304357,10.240000000000002,2,False,False,Normal
146,2019-05-27,57.17,20.0,44.78958333333333,11.147120306302808,37.17,3.6465217391304336,10.0,2,False,False,Normal
147,2019-05-28,58.42,34.4,44.33541666666667,6.8607845787658945,24.020000000000003,3.7386956521739134,9.030000000000001,2,False,False,Normal
148,2019-05-29,53.27,30.32,41.358333333333334,7.360990993459852,22.950000000000003,3.335217391304348,8.469999999999999,2,False,False,Normal
149,2019-05-30,59.19,33.0,45.45083333333333,6.7210544699775925,26.189999999999998,3.7043478260869573,7.369999999999997,2,False,False,Normal
