prices_actual,prices_forecast,actual_demand,forecast_demand,soc,charge_MW,discharge_MW,import_MW,export_MW,profit_step,cumulative_profit,day
73.22,59.228,44.49,43.94841503,0.28874882546035846,0.0,0.0,43.94841503,0.0,0.0,2960.8415009349033,1
79.08,61.97811335,45.65,42.50781556,0.28874882546035846,0.0,10.78,31.727815559999996,0.0,852.4824,3813.323900934903,1
74.28,60.35956522,44.12,42.53858009,0.025651945769826823,0.0,0.0,42.53858009,0.0,0.0,3813.323900934903,1
69.37,53.02968672,40.78,32.586,0.025651945769826823,10.78,0.0,43.366,0.0,-747.8086,3065.5153009349033,1
63.58,71.80494133,37.5,32.9662671,0.26309687969053164,0.0,10.78,22.186267100000002,0.0,685.3924,3750.907700934903,1
59.46,60.45934792,33.73,30.41842412,0.0,0.0,0.0,30.41842412,0.0,0.0,3750.907700934903,1
54.11,50.83458738,30.36,24.59823827,0.0,0.0,0.0,24.59823827,0.0,0.0,3750.907700934903,1
48.33,46.2448729,28.41,26.7398394,0.5,0.0,10.78,15.959839400000002,0.0,520.9974,4271.905100934903,2
46.1,40.06202997,26.85,25.35706803,0.23690312030946836,2.304598337950146,0.0,27.661666367950147,0.0,-106.24198337950173,4165.663117555401,2
44.81,35.9780724,26.0,23.96069922,0.28766519823788567,10.78,0.0,34.740699219999996,0.0,-483.0518,3682.611317555401,2
