method,day_index,hour,prices_actual,prices_forecast,prices_bias_corrected,actual_demand,forecast_demand,demand_bias_corrected,soc,charge_MW,discharge_MW,import_MW,export_MW,profit_step,profit_step_system,day
bias_corrected_det,248,18,60.29,71.97223928667582,71.97435176335163,45.71,35.95130629593407,35.956957191868135,1.0,0.0,8.626,27.32530629593407,0.0,520.0615399999999,-1647.442716581865,248
bias_corrected_det,248,19,65.56,66.03117068472527,66.04359136945054,44.37,34.76354676873626,34.767583777472524,0.7894736842105263,0.0,0.0,34.76354676873626,0.0,0.0,-2279.0981261583493,248
bias_corrected_det,248,20,59.99,73.01097872164834,73.02162901329669,43.43,34.7373046385989,34.7438400471978,0.7894736842105263,0.0,10.7825,23.9548046385989,0.0,646.8421750000001,-1437.048730269548,248
bias_corrected_det,248,21,59.52,73.50476913131868,73.51378160263737,42.54,37.494811990494505,37.50120286098901,0.5263157894736842,0.0,10.7825,26.712311990494506,0.0,641.7744000000001,-1589.916809674233,248
bias_corrected_det,248,22,57.01,72.17513352483516,72.19141325967033,39.79,33.2479780531044,33.25599758620879,0.2631578947368421,0.0,10.7825,22.4654780531044,0.0,614.710325,-1280.7569038074816,248
bias_corrected_det,248,23,48.68,69.1313532703022,69.1313532706044,36.43,31.354314929697804,31.354314929395606,0.0,0.0,0.0,31.354314929697804,0.0,0.0,-1526.328050777689,248
bias_corrected_det,249,0,55.7,73.17620559313187,73.19420751626373,29.44,29.491007359065932,29.494154748131866,0.5,0.0,10.7825,18.708507359065933,0.0,600.5852500000001,-1042.0638598999726,249
bias_corrected_det,249,1,52.26,71.06750966096153,71.14021636192307,27.63,27.666975517032967,27.667050284065933,0.2368421052631579,0.0,9.704250000000002,17.962725517032965,0.0,507.1441050000001,-938.7320355201427,249
bias_corrected_det,249,2,47.95,68.2668969067033,68.31087444340659,26.32,26.819238063818684,26.842411267637367,0.0,0.0,0.0,26.819238063818684,0.0,0.0,-1285.982465160106,249
bias_corrected_det,249,3,46.2,64.83700652563186,64.89007422126373,25.76,26.101824692857143,26.107119225714285,0.0,0.0,0.0,26.101824692857143,0.0,0.0,-1205.90430081,249
bias_corrected_det,249,4,43.79,60.566400320219785,60.56666445043957,25.71,25.83374296510989,25.84343406021978,0.0,0.0,0.0,25.83374296510989,0.0,0.0,-1131.259604442162,249
bias_corrected_det,249,5,42.59,64.19631714376374,64.26494219752747,26.48,26.320605747142857,26.320816654285714,0.0,0.0,0.0,26.320605747142857,0.0,0.0,-1120.9945987708143,249
bias_corrected_det,249,6,47.27,59.917977462692306,59.91912326538461,28.05,24.64882783615385,24.654322342307694,0.0,0.0,0.0,24.64882783615385,0.0,0.0,-1165.1500918149925,249
